City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yuzhno-kurilsk,44.0306,145.8556,14.6,97,99,4.12,RU,1690057696
1,kencong,-8.2833,113.3667,20.96,85,81,1.6,ID,1690057696
2,udachny,66.4167,112.4,20.25,55,12,3.99,RU,1690057696
3,iqaluit,63.7506,-68.5145,7.85,87,100,2.06,CA,1690057697
4,hamilton,39.1834,-84.5333,29.87,48,0,3.6,US,1690057474
5,tsiombe,-25.3,45.4833,20.47,77,98,4.21,MG,1690057697
6,ushuaia,-54.8,-68.3,-0.19,80,75,5.14,AR,1690057698
7,jebrail,39.3992,47.0283,25.49,44,0,1.92,AZ,1690057698
8,kresttsy,58.2452,32.5165,12.65,78,30,1.8,RU,1690057698
9,hawaiian paradise park,19.5933,-154.9731,26.61,91,75,0.0,US,1690057698
10,san patricio,28.017,-97.5169,38.98,33,27,5.55,US,1690057699
11,west island,-12.1568,96.8225,24.99,78,83,6.69,CC,1690057699
12,enewetak,11.3474,162.3373,28.15,78,87,7.3,MH,1690057699
13,harbin,45.75,126.65,20.97,97,100,6.78,CN,1690057691
14,quellon,-43.1167,-73.6167,7.14,81,40,2.57,CL,1690057700
15,alaghsas,17.0187,8.0168,33.59,33,68,4.68,NE,1690057700
16,aioun,16.6614,-9.6149,37.54,28,29,3.26,MR,1690057700
17,port elizabeth,-33.918,25.5701,10.61,77,0,3.67,ZA,1690057591
18,hermanus,-34.4187,19.2345,10.45,87,100,3.99,ZA,1690057701
19,tazovsky,67.4667,78.7,13.5,98,80,3.13,RU,1690057701
20,albany,42.6001,-73.9662,28.43,48,0,0.89,US,1690057565
21,thompson,55.7435,-97.8558,18.09,48,75,5.66,CA,1690057688
22,port-aux-francais,-49.35,70.2167,3.13,77,83,14.72,TF,1690057479
23,lebu,-37.6167,-73.65,11.61,79,8,3.8,CL,1690057702
24,qaqortoq,60.7167,-46.0333,10.17,74,100,1.79,GL,1690057702
25,wailua homesteads,22.0669,-159.378,27.24,86,100,6.69,US,1690057702
26,saldanha,-33.0117,17.9442,9.03,82,72,2.08,ZA,1690057703
27,port lincoln,-34.7333,135.8667,11.06,68,18,6.02,AU,1690057676
28,papatowai,-46.5619,169.4708,9.01,95,100,3.58,NZ,1690057703
29,bethel,41.3712,-73.414,28.9,53,20,3.6,US,1690057703
30,puerto natales,-51.7236,-72.4875,0.23,83,16,1.79,CL,1690057483
31,mungwi,-10.1732,31.3694,15.06,60,11,2.33,ZM,1690057704
32,edinburgh of the seven seas,-37.0676,-12.3116,12.7,72,12,8.91,SH,1690057704
33,nikolayevsk-on-amure,53.1406,140.73,18.35,62,100,1.58,RU,1690057704
34,waitangi,-43.9535,-176.5597,11.01,96,100,4.92,NZ,1690057705
35,champerico,14.3,-91.9167,34.3,64,100,3.84,GT,1690057705
36,kabwe,-14.4469,28.4464,15.22,65,0,2.44,ZM,1690057547
37,buka,40.8108,69.1986,26.31,25,0,2.49,UZ,1690057705
38,yellowknife,62.456,-114.3525,22.29,40,75,4.12,CA,1690057584
39,nar'yan-mar,67.6713,53.087,10.78,92,100,6.41,RU,1690057706
40,ha tinh,18.3333,105.9,25.08,93,8,1.31,VN,1690057706
41,durango,24.8333,-104.8333,29.09,27,94,6.04,MX,1690057664
42,keren,15.7778,38.4581,25.82,56,25,2.7,ER,1690057706
43,blackmans bay,-43.0167,147.3167,5.94,93,19,1.93,AU,1690057707
44,bilibino,68.0546,166.4372,18.17,61,78,1.36,RU,1690057707
45,constantia,44.1833,28.65,26.5,69,0,2.09,RO,1690057570
46,saynshand,44.8824,110.1163,20.26,58,6,5.21,MN,1690057707
47,karratha,-20.7377,116.8463,16.98,22,0,8.85,AU,1690057541
48,stanley,54.868,-1.6985,15.4,94,100,5.14,GB,1690057708
49,kinablangan,7.6947,126.5503,26.49,80,100,2.08,PH,1690057708
50,westport,41.1415,-73.3579,29.97,49,40,6.17,US,1690057437
51,el-tor,28.2364,33.6254,31.08,45,0,0.0,EG,1690057708
52,daru,-9.0763,143.2092,25.0,73,100,5.05,PG,1690057709
53,chonchi,-42.6128,-73.8092,7.29,69,90,2.32,CL,1690057709
54,grytviken,-54.2811,-36.5092,-7.19,72,96,4.63,GS,1690057460
55,reggane,26.7158,0.1714,40.79,10,84,3.01,DZ,1690057709
56,diego de almagro,-26.3667,-70.05,25.23,19,100,1.44,CL,1690057709
57,yanykurgan,43.915,67.2481,30.03,16,0,7.13,KZ,1690057710
58,saint-philippe,-21.3585,55.7679,21.77,87,80,7.94,RE,1690057672
59,utrik,11.2278,169.8474,28.13,72,20,8.37,MH,1690057710
60,bulgan,48.8125,103.5347,10.62,89,83,0.73,MN,1690057711
61,villa gesell,-37.2639,-56.973,11.7,96,100,8.59,AR,1690057711
62,mareeba,-17.0,145.4333,15.4,91,50,1.07,AU,1690057711
63,usogorsk,63.4106,48.6872,11.86,98,8,2.39,RU,1690057712
64,kiruna,67.8557,20.2251,8.51,93,100,2.57,SE,1690057712
65,san antonio de pale,-1.4014,5.6325,23.18,78,67,5.42,GQ,1690057712
66,fort st. john,56.2499,-120.8529,24.94,38,20,4.12,CA,1690057701
67,tahoua,14.8888,5.2692,33.5,39,2,2.21,NE,1690057712
68,tvoroyri,61.5556,-6.8111,11.08,85,30,6.51,FO,1690057713
69,bredasdorp,-34.5322,20.0403,11.54,89,100,3.64,ZA,1690057713
70,isafjordur,66.0755,-23.124,11.45,76,99,0.86,IS,1690057714
71,powell river,49.8496,-124.5361,25.8,47,40,5.14,CA,1690058028
72,lapai,9.05,6.5667,24.46,92,72,0.75,NG,1690057715
73,khandyga,62.6667,135.6,12.59,95,11,1.31,RU,1690057715
74,vilyuchinsk,52.9306,158.4028,16.15,76,95,2.97,RU,1690057715
